state,today,total
BOCH PS MADHOPUR NARKATIYA,0,568
BOCH PS SIMRAHA BASUDEO,0,923
BOCH RAJKIYA MS JAGGANATHPUR,0,446
BOCH RAJKIYA MV SHILARAMPUR,0,506
BOCH SB CHAKABDUL RAHMAN,0,63
BOCHAHAN MS CHUMUKH DEOGAN,0,99
BOCHAHAN MS HUSSIANPUR,0,335
Balaji Clinic Purani Bazar,0,123
Ban BUB Hatha,0,182
Ban BUB Matlupur,0,180
Ban LPS Rampur Dayal,0,188
Ban MS Munni Baigari,0,185
Ban MS Sakhauda,0,120
Ban MS Shankarpur Sakari,0,188
Ban MS Simra,0,180
Ban MS Sundrapur Ratwara,0,185
Ban MS Vishnupur Mehshi,0,180
Ban PS Manipur Tirkon Tola,0,180
Ban PS Mohanpur,0,182
Ban PS Pandey Tola Tepari,0,182
Ban UMS Munni,0,182
Ban UMS Naya Tola Ratwara,0,178
Ban UMS Rampur Mahinath Urdu,0,380
Banaras Bank Chowk,0,100
Bandra 18 Plus PS Bandra North,0,"4,137"
Bandra APHC Sakriman,0,932
Bandra AWC 10 Sahni Tola,0,200
Bandra Anchal Office,0,10
Bandra Awc 10 Bandra,0,198
Bandra BRC Bhawan,0,10
Bandra BS Hattha,0,202
Bandra BS Matalupur,0,261
Bandra BS Mutlupur,0,"1,291"
Bandra BS Ratwara,0,449
Bandra Baghi Pusthkalya,0,8
Bandra Baijnathpur Patsara,0,10
Bandra CHC For 2nd Dose,0,"2,870"
Bandra CHC For WWD 1,0,"2,455"
Bandra CHC For WWD 2,0,14
Bandra GHS Patsara,0,340
Bandra HS Baingra,0,150
Bandra HSC Ghosrawan,0,120
Bandra HSC Hatha,0,94
Bandra HSC Madhaiya,0,9
Bandra HSC Mohanpur,0,107
Bandra HSC Mutlupur,0,6
Bandra High School Tepari,0,215
Bandra Jori Gachi Ratwara,0,287
Bandra M1 Shankarpur Tepari,0,190
Bandra MS Baghi,0,209
Bandra MS Baigari Muslman Tola,0,265
Bandra MS Bariyarpur,0,320
