state,today,total
HSC Chandauli Hat,0,943
HSC Chandaurari,0,818
HSC Darsur Warishnagar,0,740
HSC Deodha,0,"6,281"
HSC Desua,0,"13,319"
HSC Devra,0,797
HSC Dhakjari Singhia,0,33
HSC Dharampur Mnagar,0,"4,724"
HSC Dharmagatpur Bathua,0,"4,742"
HSC Dhobgama Pusa,0,320
HSC Dhrubgama Kalyanpur,0,911
HSC Dhurlakh,0,"2,261"
HSC Dighara,0,"4,155"
HSC Dudhpura,0,977
HSC Dudhpura Hasanpur,0,958
HSC Dumri Dih,0,770
HSC Gaddo Bajitpur,0,"12,512"
HSC Gadhsisai,0,"5,297"
HSC Gangapur Sarairanjan,0,"1,022"
HSC Ghoghraha,0,404
HSC Gohi,0,"2,082"
HSC Gudarghat,0,792
HSC Hardiya Singhia,0,393
HSC Harilochanpur,0,"3,879"
HSC Harpur Alloth,0,"2,011"
HSC Harpur Bhindi,0,"1,467"
HSC Harpur Bochaha,0,"3,797"
HSC Harpur Pusa,0,"6,989"
HSC Hasanpur Khan,0,"1,117"
HSC Hasanpur Surat,0,"2,676"
HSC Hazratpur Mohiuddingar,0,331
HSC Hemanpur,0,252
HSC Illmasnagar,0,"5,794"
HSC JAGATSINGHPUR,0,581
HSC Jahangirpur,0,960
HSC Jakhar Dharmpur,0,"2,703"
HSC Jatamalpur,0,210
HSC Jaunapur,0,"2,936"
HSC Jhakhra,0,"3,262"
HSC Jitwarpur Chouth,0,"1,350"
HSC Jitwarpur Kumhrar,0,"3,483"
HSC Jitwarpur Nijamat,0,"1,829"
HSC Jorpura,0,"4,968"
HSC KARPURIGRAM,0,780
HSC Kale,0,"1,919"
HSC Kalwara,0,480
HSC Kalyanpur Bib,0,"1,208"
HSC Kamrawan,0,"5,719"
HSC Kancha Vidyapatinagar,0,170
HSC Kesonarayanpur,0,"1,013"
HSC Kewta,0,"1,735"
HSC Khajuri,0,553
HSC Khalishpur Sarairanjan,0,"1,095"
HSC Khanpur,0,"1,079"
HSC Kowari I,0,740
HSC Koylam Kalyanpur,0,389
HSC Kubauliram,0,"3,441"
HSC Kundal,0,25
HSC Kusiyari Kalyanpur,0,422
HSC Lagma,0,"4,844"
HSC Lagma Singhia,0,779
HSC Laguniya Raghukanth,0,"2,463"
HSC Laguniya Suryakanth,0,"1,562"
HSC Lakhanpatti,0,"1,505"
HSC Lakhanpur,0,250
HSC Lilhaul Singhia,0,424
HSC MORDIWA,0,"1,612"
HSC Madanpur Kalyanpur,0,426
HSC Madhepur,0,"1,397"
HSC Madhodeeh,0,"5,086"
HSC Madhopur Digharua Tajpur,0,471
HSC Madhuban Kal,0,201
HSC Madhurapur Shivajinagar,0,151
HSC Madhurapur Tara,0,"5,305"
HSC Mahati Bibhutipur,0,180
HSC Mahe Singhia,0,"1,019"
HSC Mahmadda Pusa,0,200
HSC Mahra Singhia,0,508
HSC Mahthi,0,"2,902"
HSC Mahuli,0,"5,976"
HSC Malinagar,0,"4,608"
HSC Malipur,0,417
HSC Maniyarpur,0,"3,458"
HSC Manjul Mubarak,0,433
HSC Marthua,0,369
HSC Masina,0,"1,268"
HSC Mathurapur,0,"6,045"
HSC Mauji,0,"4,561"
HSC Mehasi,0,601
HSC Mohamadpur Sakra,0,400
HSC Mohanpur Mohanpur,0,504
HSC Mohanpur Sam,0,"2,576"
HSC Mokhtiyarpur,0,"1,091"
HSC Morwa North,0,729
HSC Mujauna I,0,2
HSC Musapur,0,"5,431"
HSC Musapur Sam,0,"2,887"
HSC Mustafapur,0,389
HSC NAWADAAA,0,887
HSC NEERPUR,0,"1,131"
HSC Nagarbasti,0,"3,869"
HSC Namapur,0,216
HSC Nandani,0,183
HSC Narban,0,402
HSC Narpa,0,"5,387"
HSC Nayanagar,0,"6,405"
HSC Nikaspur,0,"1,099"
HSC POKHRAIRA,0,871
HSC Pagra,0,"1,388"
HSC Pakri,0,214
HSC Pand,0,"6,401"
HSC Parsa,0,"5,618"
HSC Partapur,0,"6,665"
HSC Patailiya,0,802
HSC Patsa,0,"6,121"
HSC Peyarepur,0,"3,174"
HSC Phulhara Singhia,0,614
HSC Pura Shivajinagar,0,580
HSC Pusaho,0,"2,327"
HSC Raghopur,0,402
HSC Raghunathpur Bela,0,"5,715"
HSC Rahimabad,0,"3,216"
HSC Rahmatpur,0,"1,657"
HSC Rahtauli,0,657
HSC Rajajan,0,"2,541"
HSC Ramapur Maheshpur Tajpur,0,769
HSC Rambhadrapur Kalyanpur,0,420
HSC Ramjan Nagar,0,"4,286"
HSC Rampur Bahor Singhia,0,"1,047"
HSC Rampur Jalalpur,0,470
HSC Ranna Dahiyar,0,"1,462"
HSC Repura I Pusa,0,420
HSC SATMALPUR WARISHNAGAR,0,669
HSC SINGHIA KHURD,0,343
HSC Sakhwa,0,721
HSC Salkhani,0,"5,860"
HSC Sarangpur,0,806
HSC Sarari,0,"4,709"
HSC Sari,0,"3,618"
HSC Sarsauna Tajpur,0,"1,281"
HSC Shadipur Tajpur,0,400
HSC Shahpur Baghauni,0,260
HSC ShambhuPatti,0,"4,602"
HSC Shasan,0,877
HSC Sherpur Narshari Sarairanj,0,430
HSC Sihma,0,"3,403"
HSC Simiri,0,"5,936"
HSC Singhia Ghat,0,"6,546"
HSC Sirsi,0,220
HSC Siura,0,"3,964"
HSC Siwana,0,166
HSC Siwasingpur,0,"6,466"
HSC Sohma,0,"1,039"
HSC Songar,0,"1,282"
HSC Sormar,0,609
HSC Sultanpur M Nagar,0,168
HSC Surauli,0,"1,008"
HSC Surha,0,"1,603"
HSC Suryapur,0,688
HSC Tabhka,0,592
HSC Tajpur,0,"6,022"
HSC Thatia,0,"6,264"
HSC Udapatti,0,657
HSC Ujan,0,"6,315"
HSC V Diha Singhia,0,457
HSC Vidyapatinagar,0,"2,879"
Hasanpur CRC- I,0,"2,553"
Hasanpur RBSK Team- I,0,"1,791"
Hasanpur RBSK Team- II,0,"1,354"
Hasanpur Workplace Center,0,"3,550"
High School Bellari Ujiyarpur,0,"7,080"
High School Dharampur SAM,0,"5,827"
High School Kalyanpur,0,"9,160"
High School Sarairanjan,0,"2,406"
High School Tajpur,0,"8,100"
Jannayak Karpuri Auditorium I,0,"18,693"
Jannayak Karpuri Auditorium II,0,"8,161"
Janta College Bibhutipur,0,"4,187"
K E Inter School SAM,0,"3,771"
Kalyanpur CRC- I,0,"4,969"
Kalyanpur RBSK Team- II,0,"8,857"
Kalyanpur RBSK Team-I,0,"8,258"
Kalyanpur Workplace Center,0,"9,390"
Kanya Primary School Rosera,0,"8,150"
KariSingh HighSchool Gadhsisai,0,"1,106"
Khanpur CRC- I,0,"1,831"
Khanpur RBSK Team- I,0,"7,094"
Khanpur Workplace Center,0,"6,093"
M.Nagar RBSK Team- I,0,"4,873"
M.Nagar RBSK Team- II,0,"2,781"
MEENA ASHRAYA NURSING HOME,0,312
MNDHighSchool Raipur Ujiyarpur,0,"7,901"
MS Ballipur Shivajinagar,0,"1,830"
MS Bhagyarani Asthan Morwa,0,"2,816"
Maniyarpur Pancht Bhawan Waris,0,480
Marwari Dharamshala Samastipur,0,940
Marwari Dharmshala Bithan,0,"3,297"
Matri Sishu Sadan Salempur,0,"9,666"
Middle School Bahadurpur Sam,0,"2,478"
Middle School Dhurlakh SAM,0,"1,144"
Middle School Jorpura Patori,0,"2,072"
Middle School Shivajinagar,0,"5,033"
MiddleSchool Harpur Alloth Sam,0,"3,117"
Mnagar Workplace Center,0,"6,088"
Mohanpur CRC- I,0,"1,168"
Mohanpur Panchayat Bhawan,0,"5,170"
Mohanpur RBSK Team- I,0,"3,583"
Mohanpur Workplace Center,0,"2,619"
Mohauiddinagar PHC,0,"7,305"
Mohiuddinnagar CRC- I,0,"5,059"
Morwa CRC- I,0,"5,522"
