state,today,total
BGS URBAN TIKA EXPRESS 02,0,"5,595"
BGS URBAN ULAW,0,"3,163"
BGS URBAN WARD 1 SINGHAUL,0,"4,243"
BGS URBAN WARD 10 NAGDAH,0,"1,788"
BGS URBAN WARD 11 NAGDAH,0,363
BGS URBAN WARD 12 HARRAKH,0,"3,471"
BGS URBAN WARD 13 HARRAKH,0,"1,165"
BGS URBAN WARD 15 ITWA,0,155
BGS URBAN WARD 16 PIPRA,0,"1,449"
BGS URBAN WARD 17 BISHNUPUR,0,"1,581"
BGS URBAN WARD 18 RAMDIRI,0,"4,169"
BGS URBAN WARD 19 PACHIYARITOL,0,820
BGS URBAN WARD 2 SINGHAUL DIH,0,"3,524"
BGS URBAN WARD 20 HEMRA,0,655
BGS URBAN WARD 21 RATANPUR,0,"1,089"
BGS URBAN WARD 22 MARWARI,0,"1,004"
BGS URBAN WARD 23 BAGHA,0,134
BGS URBAN WARD 24 SUBHAS NAGAR,0,791
BGS URBAN WARD 25 BAGHIPOKHAR,0,"1,887"
BGS URBAN WARD 26 AANADPUR,0,"1,068"
BGS URBAN WARD 27 WISHHAR,0,"1,947"
BGS URBAN WARD 28 LOHIA NAGAR,0,"3,907"
BGS URBAN WARD 29 BAGHA,0,"2,406"
BGS URBAN WARD 3 ULLAO,0,"4,986"
BGS URBAN WARD 30 STATION ROAD,0,"3,186"
BGS URBAN WARD 31 COLLEGIAT,0,612
BGS URBAN WARD 32 MUNGERIGANJ,0,"1,046"
BGS URBAN WARD 34,0,367
BGS URBAN WARD 38 MAHMADPUR,0,"1,574"
BGS URBAN WARD 39 VISHNUPUR,0,442
BGS URBAN WARD 4 MACHHA,0,"1,612"
BGS URBAN WARD 40 SARVODYNAGAR,0,240
BGS URBAN WARD 41,0,"1,349"
BGS URBAN WARD 42 VISHNUPUR,0,"1,862"
BGS URBAN WARD 43 VISHNUPUR,0,"1,957"
BGS URBAN WARD 44 BAJITPUR,0,"1,528"
BGS URBAN WARD 45 H BAITHKA,0,"1,963"
BGS URBAN WARD 5,0,"1,602"
BGS URBAN WARD 6 SINGHAUL,0,"1,251"
BGS URBAN WARD 7 SINGHAUL,0,"2,611"
BGS URBAN WARD 8 RAJAPUR,0,"1,007"
BGSAPHCLAKHANPATTI PHCCHAURAHI,0,356
BGSHSCNARAYANPIPAR PHCCHAURAHI,0,40
BGSHSCNARAYANPURPHCKHODAWANPUR,0,333
BMP ASPATAL BEGUSARAI,0,600
BMP HOSPITAL TOWNSHIP BEG,0,25
